PUNKT;GRAD;SSID;BSS;RSSI;KANAL
55/60/0;0;HFU Guest;18:E8:29:EE:30:6E;-83;36
55/60/0;0;HFU Guest;18:E8:29:EE:30:6E;-82;36
55/60/0;0;HFU Open;C2:FB:E4:80:8A:1E;-88;1
55/60/0;0;HFU Open;C2:FB:E4:80:8A:1E;-88;1
55/60/0;0;HFU Open;26:E8:29:EE:2E:85;-91;36
55/60/0;0;HFU Open;26:E8:29:EE:2E:85;-91;36
55/60/0;0;HFU Guest;B4:FB:E4:4E:13:20;-88;44
55/60/0;0;eduroam;BE:FB:E4:4D:13:20;-88;11
55/60/0;0;eduroam;BE:FB:E4:4D:13:20;-86;11
55/60/0;0;eduroam;BE:FB:E4:80:8A:1D;-91;36
55/60/0;0;eduroam;BE:FB:E4:80:8A:1D;-91;36
55/60/0;0;eduroam;22:E8:29:ED:30:6E;-77;11
55/60/0;0;eduroam;22:E8:29:ED:30:6E;-76;11
55/60/0;0;HFU Open;26:E8:29:ED:2F:EA;-92;6
55/60/0;0;HFU Open;26:E8:29:ED:2F:EA;-92;6
55/60/0;0;eduroam;BE:FB:E4:80:8A:1E;-79;1
55/60/0;0;eduroam;BE:FB:E4:80:8A:1E;-88;1
55/60/0;0;HFU Open;26:E8:29:ED:30:A7;-77;1
55/60/0;0;HFU Open;26:E8:29:ED:30:A7;-76;1
55/60/0;0;HFU Open;26:E8:29:ED:34:1B;-90;6
55/60/0;0;HFU Open;26:E8:29:ED:34:1B;-90;6
55/60/0;0;HFU Guest;18:E8:29:ED:2E:85;-90;6
55/60/0;0;HFU Guest;18:E8:29:ED:2E:85;-90;6
55/60/0;0;HFU Open;26:E8:29:ED:32:54;-93;6
55/60/0;0;HFU Open;26:E8:29:ED:32:54;-93;6
55/60/0;0;HFU Open;26:E8:29:EE:30:6E;-83;36
55/60/0;0;HFU Open;26:E8:29:EE:30:6E;-83;36
55/60/0;0;HFU Guest;18:E8:29:EE:30:A7;-80;40
55/60/0;0;HFU Guest;18:E8:29:EE:30:A7;-76;40
55/60/0;0;HFU Open;82:83:C2:18:6F:F0;-90;1
55/60/0;0;HFU Open;82:83:C2:18:6F:F0;-91;1
55/60/0;0;eduroam;22:E8:29:ED:2F:EA;-91;6
55/60/0;0;eduroam;22:E8:29:ED:2F:EA;-91;6
55/60/0;0;HFU Open;C2:FB:E4:4E:13:20;-90;44
55/60/0;0;HFU Open;C2:FB:E4:4E:13:20;-88;44
55/60/0;0;HFU Guest;74:83:C2:18:6C:B0;-94;11
55/60/0;0;eduroam;22:E8:29:ED:30:A7;-77;1
55/60/0;0;eduroam;22:E8:29:ED:30:A7;-76;1
55/60/0;0;eduroam;22:E8:29:ED:34:1B;-88;6
55/60/0;0;eduroam;22:E8:29:ED:34:1B;-90;6
55/60/0;0;eduroam;7E:83:C2:18:6F:F0;-91;1
55/60/0;0;eduroam;7E:83:C2:18:6F:F0;-91;1
55/60/0;0;eduroam;6A:D7:9A:28:94:0C;-88;6
55/60/0;0;eduroam;6A:D7:9A:28:94:0C;-86;6
55/60/0;0;HFU Guest;18:E8:29:ED:04:5B;-92;1
55/60/0;0;HFU Guest;18:E8:29:ED:04:5B;-92;1
55/60/0;0;HFU Guest;68:D7:9A:68:94:0C;-88;6
55/60/0;0;HFU Guest;68:D7:9A:68:94:0C;-86;6
55/60/0;0;eduroam;BE:FB:E4:4E:13:20;-89;44
55/60/0;0;eduroam;BE:FB:E4:4E:13:20;-89;44
55/60/0;0;eduroam;22:E8:29:ED:32:54;-93;6
55/60/0;0;eduroam;22:E8:29:ED:32:54;-93;6
55/60/0;0;HFU Guest;18:E8:29:ED:30:6E;-77;11
55/60/0;0;HFU Guest;18:E8:29:ED:30:6E;-76;11
55/60/0;0;eduroam;22:E8:29:EE:30:6E;-82;36
55/60/0;0;eduroam;22:E8:29:EE:30:6E;-82;36
55/60/0;0;HFU Guest;B4:FB:E4:4D:13:20;-89;11
55/60/0;0;HFU Guest;B4:FB:E4:4D:13:20;-87;11
55/60/0;0;HFU Open;26:E8:29:ED:2E:85;-88;6
55/60/0;0;HFU Open;26:E8:29:ED:2E:85;-88;6
55/60/0;0;HFU Guest;B4:FB:E4:80:8A:1D;-88;36
55/60/0;0;HFU Guest;B4:FB:E4:80:8A:1D;-88;36
55/60/0;0;HFU Open;26:E8:29:EE:30:A7;-80;40
55/60/0;0;HFU Open;26:E8:29:EE:30:A7;-76;40
55/60/0;0;HFU Guest;B4:FB:E4:80:8A:1E;-89;1
55/60/0;0;HFU Guest;B4:FB:E4:80:8A:1E;-88;1
55/60/0;0;HFU Guest;18:E8:29:EE:2E:85;-90;36
55/60/0;0;HFU Guest;18:E8:29:EE:2E:85;-90;36
55/60/0;0;HFU Open;6A:D7:9A:38:94:0C;-92;6
55/60/0;0;HFU Open;6A:D7:9A:38:94:0C;-86;6
55/60/0;0;HFU Open;82:83:C2:18:6C:B0;-94;11
55/60/0;0;HFU Guest;18:E8:29:ED:2F:EA;-91;6
55/60/0;0;HFU Guest;18:E8:29:ED:2F:EA;-91;6
55/60/0;0;eduroam;22:E8:29:ED:2E:85;-89;6
55/60/0;0;eduroam;22:E8:29:ED:2E:85;-89;6
55/60/0;0;HFU Guest;18:E8:29:ED:30:A7;-77;1
55/60/0;0;HFU Guest;18:E8:29:ED:30:A7;-76;1
55/60/0;0;HFU Open;26:E8:29:ED:30:6E;-77;11
55/60/0;0;HFU Open;26:E8:29:ED:30:6E;-75;11
55/60/0;0;HFU Guest;18:E8:29:ED:34:1B;-89;6
55/60/0;0;HFU Guest;18:E8:29:ED:34:1B;-90;6
55/60/0;0;eduroam;22:E8:29:EE:30:A7;-77;40
55/60/0;0;eduroam;22:E8:29:EE:30:A7;-76;40
55/60/0;0;HFU Open;C2:FB:E4:4D:13:20;-89;11
55/60/0;0;HFU Open;C2:FB:E4:4D:13:20;-86;11
55/60/0;0;HFU Open;C2:FB:E4:80:8A:1D;-86;36
55/60/0;0;HFU Open;C2:FB:E4:80:8A:1D;-86;36
55/60/0;90;HFU Guest;18:E8:29:EE:30:6E;-82;36
55/60/0;90;HFU Guest;18:E8:29:EE:30:6E;-80;36
55/60/0;90;HFU Open;76:83:C2:35:65:4C;-87;6
55/60/0;90;HFU Open;C2:FB:E4:80:8A:1E;-89;1
55/60/0;90;HFU Open;C2:FB:E4:80:8A:1E;-88;1
55/60/0;90;HFU Guest;B4:FB:E4:4E:13:20;-87;44
55/60/0;90;HFU Guest;B4:FB:E4:4E:13:20;-87;44
55/60/0;90;HFU Open;26:E8:29:EE:2E:85;-90;36
55/60/0;90;HFU Open;26:E8:29:EE:2E:85;-90;36
55/60/0;90;eduroam;BE:FB:E4:4D:13:20;-90;11
55/60/0;90;eduroam;BE:FB:E4:4D:13:20;-88;11
55/60/0;90;HFU Guest;74:83:C2:75:65:4C;-87;6
55/60/0;90;HFU Guest;74:83:C2:75:65:4C;-86;6
55/60/0;90;eduroam;BE:FB:E4:80:8A:1D;-89;36
55/60/0;90;eduroam;BE:FB:E4:80:8A:1D;-89;36
55/60/0;90;eduroam;22:E8:29:ED:04:5B;-94;1
55/60/0;90;eduroam;22:E8:29:ED:04:5B;-94;1
55/60/0;90;eduroam;22:E8:29:ED:30:6E;-85;11
55/60/0;90;eduroam;22:E8:29:ED:30:6E;-84;11
55/60/0;90;HFU Open;26:E8:29:ED:2F:EA;-92;6
55/60/0;90;HFU Open;26:E8:29:ED:2F:EA;-92;6
55/60/0;90;eduroam;BE:FB:E4:80:8A:1E;-90;1
55/60/0;90;eduroam;BE:FB:E4:80:8A:1E;-90;1
55/60/0;90;HFU Open;26:E8:29:ED:30:A7;-80;1
55/60/0;90;HFU Open;26:E8:29:ED:30:A7;-76;1
55/60/0;90;HFU Open;26:E8:29:ED:34:1B;-89;6
55/60/0;90;HFU Open;26:E8:29:ED:34:1B;-89;6
55/60/0;90;HFU Guest;18:E8:29:ED:2E:85;-87;6
